locus_id	type	family	superfamily	chrom	start	end	strand	ltr_5_start	ltr_5_end	ltr_3_start	ltr_3_end	int_start	int_end	n_tools	edta	look4ltrs	soloLTRseeker
at_Copia_s0001	solo_LTR	Copia	Copia	1	2157110	2157660	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0001	solo_LTR	Gypsy	Gypsy	1	2657429	2657920	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0002	solo_LTR	Copia	Copia	1	6302607	6303156	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0003	solo_LTR	Copia	Copia	1	7714707	7715145	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0002	solo_LTR	Gypsy	Gypsy	1	11733885	11734392	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0003	solo_LTR	Gypsy	Gypsy	1	13621517	13622705	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0004	solo_LTR	Gypsy	Gypsy	1	13682284	13682800	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0005	solo_LTR	Gypsy	Gypsy	1	13785859	13786678	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0006	solo_LTR	Gypsy	Gypsy	1	13862959	13864719	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0007	solo_LTR	Gypsy	Gypsy	1	14044390	14045932	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0008	solo_LTR	Gypsy	Gypsy	1	14207154	14208345	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0009	solo_LTR	Gypsy	Gypsy	1	14328175	14329803	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0010	solo_LTR	Gypsy	Gypsy	1	14364218	14365893	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0011	solo_LTR	Gypsy	Gypsy	1	14409871	14411546	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0012	solo_LTR	Gypsy	Gypsy	1	14429064	14430799	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0013	solo_LTR	Gypsy	Gypsy	1	14673836	14674642	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0014	solo_LTR	Gypsy	Gypsy	1	14829784	14830590	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0015	solo_LTR	Gypsy	Gypsy	1	15422084	15423710	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0016	solo_LTR	Gypsy	Gypsy	1	15616246	15618000	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0017	solo_LTR	Gypsy	Gypsy	1	15624501	15625637	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0018	solo_LTR	Gypsy	Gypsy	1	15662679	15663195	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0019	solo_LTR	Gypsy	Gypsy	1	15699976	15701630	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0020	solo_LTR	Gypsy	Gypsy	1	15790114	15791904	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0021	solo_LTR	Gypsy	Gypsy	1	15852925	15854122	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0022	solo_LTR	Gypsy	Gypsy	1	15910386	15911211	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0023	solo_LTR	Gypsy	Gypsy	1	15944362	15944741	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0024	solo_LTR	Gypsy	Gypsy	1	16174277	16174793	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0025	solo_LTR	Gypsy	Gypsy	1	16360021	16361173	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0026	solo_LTR	Gypsy	Gypsy	1	16377780	16378957	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0027	solo_LTR	Gypsy	Gypsy	1	16406732	16407937	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0028	solo_LTR	Gypsy	Gypsy	1	16701004	16701424	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0004	solo_LTR	Copia	Copia	1	16754598	16755211	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0029	solo_LTR	Gypsy	Gypsy	1	17713520	17714680	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0005	solo_LTR	Copia	Copia	1	20423239	20423730	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0030	solo_LTR	Gypsy	Gypsy	1	21509605	21510092	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0031	solo_LTR	Gypsy	Gypsy	1	23844234	23844593	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0032	solo_LTR	Gypsy	Gypsy	2	1226207	1227569	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0033	solo_LTR	Gypsy	Gypsy	2	1412407	1413623	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0034	solo_LTR	Gypsy	Gypsy	2	2622161	2623982	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0035	solo_LTR	Gypsy	Gypsy	2	2691573	2693140	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0036	solo_LTR	Gypsy	Gypsy	2	2699634	2700772	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0037	solo_LTR	Gypsy	Gypsy	2	2707332	2708991	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0038	solo_LTR	Gypsy	Gypsy	2	2721289	2722904	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0039	solo_LTR	Gypsy	Gypsy	2	2829968	2830476	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0006	solo_LTR	Copia	Copia	2	3152709	3153049	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0040	solo_LTR	Gypsy	Gypsy	2	3600307	3601979	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0041	solo_LTR	Gypsy	Gypsy	2	3906161	3907789	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0042	solo_LTR	Gypsy	Gypsy	2	4018275	4018761	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0043	solo_LTR	Gypsy	Gypsy	2	4217157	4218905	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0044	solo_LTR	Gypsy	Gypsy	2	4256626	4258322	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0045	solo_LTR	Gypsy	Gypsy	2	4370212	4371417	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0046	solo_LTR	Gypsy	Gypsy	2	4398325	4400056	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0047	solo_LTR	Gypsy	Gypsy	2	4511476	4511995	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0048	solo_LTR	Gypsy	Gypsy	2	4615801	4617477	+	.	.	.	.	.	.	2	1	0	1
